mayfly	chironomid	simulium	ephemeroptera	killifish	cyprinus	diptera	piscivorous	mosquitofish	phalacrocorax	odonata	herbivorous	insectivorous	chub	lepomis	orthoptera
subduction	rift	lithosphere	crustal	volcanism	tectonically	lithospheric	faulting	tectonism	orogenic	craton	subduct	magmatism	cenozoic	geodynamic	clastic
planter	tenement	meet	vender	half	vend	behalf	corn	four	halfpenny	auctioneer	chattel	warehouseman	draw	remitter	taunton

crisis_management	international_crisis	turmoil	aftermath	confront	catastrophe	facing	averting	faced	averted	oculogyric	exacerbating	imbroglio	predicament	upheaval	short-termism
barenboim	lanois	chanson	off-off-broadway	ballade	yehudi	tempesta	dybbuk	music_director	berio	patriarchs	rebec	cyrano	playwright	kobzar	brochard
precipitation	monsoonal	wetness	cloudiness	wetter	rain	climatological	salinity	monsoon	subtropical	storminess	interannual	climatology	microburst	el_nino	extratropical

health_club	country_club	outing	clubs	sporting	night_club	cater	elk	interclub	soror	student_center	diner	cookout	student_union	banquet	broomball
curricular	pedagogical	teach	teach	teacher	preservice	pedagogic	science_education	in-service	teacher_education	p-12	instruct	classroom	k-16	learning	core_curriculum

feline	meow	dog	pet	kitten	paw	furry	canine	kennel	doggy	shorthair	pooch	doggie	poodle	dachshund	cattery
printer	copier	ink-jet	letterpress	print	photocopier	engraving	gravure	litho	printed	lithographic	screen_printing	printing_press	inkjet	bindery	postage
photojournalist	photography	journalism	photographer	videography	photographic	videographer	photojournalistic	photograph	scriptwriting	free-lance	journalistic	newsmaking	photograph	multicamera	serigraphy
suborbital	space_tourism	spaceplane	spaceship	launchpad	blastoff	manned	space_launch	airship	airstrip	space_exploration	space_station	free-flying	seaplane	hovercraft	catamaran
interannual	monsoonal	multidecadal	midlatitude	equatorward	poleward	teleconnection	intraseasonal	cyclonic	thermocline	upwelling	anticyclone	storminess	cloudiness	anticyclonic	rainfall
mudstone	schist	gabbro	siltstone	interbedded	granitic	colluvial	granitoid	mafic	clayey	silty	alluvium	gneiss	unconformity	amphibolite	syncline

non-zero	optionally	settable	unset	alias	suboption	nonzero	callee	initialize	parameter	filetype	input_data	initialisation	pre-computed	initialization	getopt
martini	mojito	champagne	molotov	bartend	swig	bartender	mocktail	vodka	sipping	highball	sangria	cocktail_party	beer	grigio	salade
sacrific	oblation	sacrificial	altar	hecatomb	willingly	sake	incense	self-sacrifice	libation	auspiciousness	supplication	atonement	smite	expiatory	abnegation
sedge	herbaceous	bulrush	horsetail	low-growing	shrubby	equisetum	juncus	cyperus	typha	polygonum	sedum	rhus	acrostichum	elodea	myriophyllum
verb	pronoun	adjective	adverb	infinitive	participle	prepositional	gerund	accusative	pluperfect	phrase	adverbial	plural	phrasal	adjectival	hyphenate
armpit	cheekbone	breastbone	nape	protrude	pucker	girdle	clasp	noose	thigh	pinched	distended	foreleg	earlobe	craning	tunic
semisolid	vaporizer	glycerin	liquefy	viscous	immiscible	supercooled	cornstarch	hydrated	vapor	glycerine	undissolved	water-soluble	vaporize	hexane	spattering
switching	switcher	switch	on-off	toggle	multiplexer	resistor	inverter	short	disconnecting	5v	demultiplexer	mux	switchable	pseudowire	turn-off
monorail	eurostar	tollway	streetcar	expressway	airport	interurban	motorcoach	guideway	vanpool	light_rail	public_transport	docklands	rail	carpool	railroad
swipe	swipe	swipe	keycard	unlocked	i.d.	escalator	gate	entrance	cashier	gatehouse	phototube	concourse	eurostar	tollbooth	circulator

librettist	gretel	retelling	gerin	fiction	hesse	folktale	gunther	gottfried	pierrot	whisenhunt	kaspar	tale	libretto	rapunzel	fey
mortgagor	mortgagee	repossession	mortgaged	repossess	repossess	creditor	insolvent	bankruptcy	default	receivership	lien	refinance	default	mortgage	quitclaim
cour	syllabus	semester	coursework	pass-fail	introductory	prerequisite	proseminar	instructor	corequisite	elective	credit_hour	ect	anth	assign	offer
roundel	robed	blazoned	gules	finial	enamel	bordure	crosier	gule	lictor	jewelled	enthroned	coronet	ermine	circlet	gilt
suspended	suspend	suspend	revocation	disbelief	reinstatement	expulsion	reinstate	revoke	discontinuance	dismissal	infraction	debarment	readmit	termination	violator
annapolis	yarmouth	richmond	wilmington	virginian	virginia	tidewater	chesterfield	hillsborough	onslow	charleston	annandale	cumberland	seaboard	dorchester	dockyard

breakfast	lunchtime	snack	meal	noontime	cafeteria	brown-bag	takeout	noon	dinner	all-you-can-eat	3pm	dinnertime	cater	buffet	burrito

financial_market	market_price	swap	dilutive	price	undiscounted	mark-to-market	credit_crunch	unamortized	paasche	earnings	market	dividend	underpriced	use_value	market_risk

tanam	copula	vihuela	tollywood	pampangan	pandeiro	gravity-assist	toshiharu	arear	belone	nawab

leptin	orexin	gastrin	hypothalamic	cholecystokinin	postprandial	corticosterone	secretin	vasopressin	adiponectin	hypothalamus	acth	metyrapone	anorexigenic	satiety	thyroxine
benefactor	endowed	bequest	endow	professorship	munificent	bequeath	munificence	liberality	lectureship	bestow	generosity	endow	generous	donative	repute
abdicate	usurpation	usurp	repudiation	acquiescence	repudiated	usurp	vacillation	usurper	absolve	absolved	acquiesce	annul	fealty	abrogation	nullified
pyraclostrobin	cyprodinil	boscalid	myclobutanil	fludioxonil	trifloxystrobin	azoxystrobin	trifluralin	iprodione	benomyl	avermectin	methomyl	acetamiprid	pendimethalin	propargite	metalaxyl
cultural	museum	museum	rock_art	folklife	monument	historic	history_museum	material_culture	unesco	ethnological	museology	lifeway	ethnohistory	ecomuseum	pre-columbian
delayed	delaying	postponement	postponed	postpone	inconvenience	elapse	cancel	timing	reschedule	lateness	last-minute	stalling	slowness	tardy	forbearance
testcross	chordal	alternation	postalveolar	d8	semitone	s6	r6	subposet	diatonic	identically	prophase	chromatically	sinusoid	chiasma	micron

prickly	gnarled	creeper	buttercup	convolvulus	sundew	nettle	tawny	tansy	sedge	sumac	eupatorium	tuft	rubus	bindweed	hairy

owner	property_maintenance	easement	personal_property	real_property	property_right	usufructuary	owner	possessory	verbesina	limnanthes_floccosa	property_management	chorizanthe_robusta	plat	leaseholder	lapin
employ	employ	employer	employee	osha	flextime	family-friendly	telecommuting	work_force	smoke-free	worker	labor_law	work-life	absenteeism	drug-free	labor_relations
epistemological	empiricism	positivist	empiricist	positivism	positivistic	historicism	epistemic	kantian	structuralism	phenomenology	hermeneutic	historicist	coherentism	naturalism	instrumentalism
duplicity	self-deception	self-defeating	mendacity	insincerity	perversity	malevolence	thoughtlessness	overweening	dissimulation	self-righteousness	baneful	unthinking	mendacious	opportunism	timidity

proclamation	declared	communique	declare	reaffirm	reaffirm	preamble	preambular	inalienable	accord	reaffirm	bracket	doctype	ratification	reconfirm	redraft

consult	consult	management_consultant	evaluator	special	consult	security_consultant	consulting_firm	consultancy	freelance	project_management	project_team	actuary	facilitator	psychotherapist	influencer

confront	facing	button	urgent	pressed	address	tackle	grapple	push	urgency	vexing	ctrl	forward	toggle	confront	screen
israeli	palestinian	palestine	jerusalem	mosh	aviv	arab	gush	zionist	zionism	samaria	dayan	moshav	meir	ze'evi	avigdor
infeed	mower	trimmer	pruner	windrow	wrench	tenon	shovel	scraper	skidder	yarding	courtyard	dryish	subsoil	candy_cane	tuyere
terminated	terminate	terminating	discontinuance	dismissal	probationary	nonrenewal	continuation	reinstatement	cancellation	accrued	nonpayment	demotion	backpay	severance	reassignment
white	white_paper	press_secretary	bush_administration	briefing	staffer	speechwriter	congressional	podesta	rove	off-the-record	mehlman	brief	aide	adviser	kravchenko



abrasive	sandpaper	grime	greasy	caked	grooving	razor-sharp	grinding	clod	gritty	swagger	scraping	gooey	crusty	crumbly	toughness
dismantlement	follow-on	erica	multiyear	predevelopment	flying_squad	project	on-going	assess	weapon_system	defense_program	nonnuclear	reassess	nuclear_energy	field-test
world_war	third_world	global	globalized	real_world	contemporary_world	global	world_population	microcosm	new_world	globalization	superpower	today	globe	industrialised	multipolar
barque	cow	sark	berth	yarmouth	firth	aberdeenshire	picton	lough	tilbury	pennine	dockyard	northumbrian	kentish	clava	bateau

hadronic	antiparticle	pion	meson	boson	gluon	muon	nucleon	lepton	subatomic	neutralino	ultrafine	qcd	high-energy	massless	multipole





electric_power	power_plant	power_supply	electricity	power_source	wield	power_transmission	electric	power_system	nuclear_power	the_power	gas-fired	coal-fired	usurpation	high-voltage	kilovolt

opossum	mustela	chipmunk	jackrabbit	possum	mastiff	javelina	serval	doberman	hyena	hippopotamus	vole	four-footed	bandicoot	peccary	lovebird
benzyl	guanidine	lipophilic	water-soluble	sorbitol	diamine	succinate	sulfoxide	hydroquinone	azide	sulfone	hydroxylamine	benzaldehyde	nitrobenzene	disodium	racemic
curled	curler	glinting	glistening	glisten	knobby	gleam	twirling	ribbed	wiry	upturned	bronzed	lolling	cream-colored	crinkled	shapely
poxvirus	orthopoxvirus	velogenic	arbovirus	herpes_simplex	lentogenic	paramyxovirus	norovirus	muskrat	herpestes	mongolian	dutch_elm	e30	ixodidae	rhinotracheitis	sauropod
psychodynamic	maladaptive	psychopathological	biopsychosocial	maladjustment	psychopharmacology	neurobiological	psychotherapeutic	psychopathy	psychoanalytic	intrapsychic	psychophysiological	symptomology	impulsivity	deviance	conceptualization
canyonland	cavern	canyon	badlands	butt	cave	arches	uinta	gulch	crater	voyageurs	teton	devil	trailhead	volcano	tonto



indisposed	vexation	quit	wearied	unwell	wonted	seasonable	twelvemonth	insensible	ague	insensibility	mortification	importunity	recollect	unwonted	coldness
ottley	bhairav	fade	succotash	bedquilt	skewbald
forb	reseed	weed	mow	mowing	groundcover	leaves	pigweed	cattail	vetiver	weedy	mow	mown	blue_grass	herbaceous	understory
secondo	diable	sacra	odilon	liotard	torquato	gaul	manual	ospedale	einem	religion	beuron	ramelli	francini	molto	saval
general_assembly	attorney_general	commander-in-chief	adjutant	general_counsel	general_education	general_staff	brigadier	state_attorney	general	ghq	major_general	attorney	regard	comptroller	proviso
courtyard	longshan	hearth	complex_sentence	aqueduct	storeyed	sub-rectangular	mayan	cross-dress	mantel	bacillariophyceae	groin	resect	rut	smyrniot	cockatoo
undergraduate	graduate_student	doctoral	ph.d.	mals	associateship	predoctoral	postbaccalaureate	fellowship	assistantship	matriculate	postdoctoral	degree	fellowship	nondegree	stipend





swimming	pool	swimming_pool	regional_power	tub	poolside	billiards	lifeguard	car_pool	pool_table	riffle	jacuzzi	pool	wading	sundeck	shower
billion	multimillion	million	multi-million	multi-billion	multibillion	money	trillion	costing	ten	dollar	us_dollar	funnel	siphon	dime	paltry

red	cross	red_cross	red_lion	planet	crescent	gnarl	red_deer	blue	red_flag	betelgeuse	bringer	red_oak	terraform	yonder	spiderweb
liquefied	gas	gas_pipeline	fuel	gasfield	nonutility	hydrocarbon	spill	clean-burning	energy_policy	natural_resources	renew	electric_power	wellhead	rig	railway

antigonus	eumenes	lacedaemonian	gaul	syracusan	cleomenes	aratus	carthaginian	achaean	thessalian	boeotian	domitius	caecina	antipater	galba	avenged
train	outreach	funding	art_education	assistance	grant	eep	grant	participating	schoolwide	after-school	afterschool	precollege	grantsmanship	initiative	headstart


suburbs	the_city	kapampangan	golconda	kalej	visakhapatnam	raipur	cedro	chitra	guaguanco	seafront	honan	laga	stronghold


fat-free	fatness	low-fat	waistline	adipose	obese	fatty	diet	high-calorie	sugary	cellulite	lipodystrophy	anorexic	lean	leptin	diet
sudoku	wacky	tetri	geeky	quirky	chock-full	wordplay	tetri	snazzy	zany	nifty	offbeat	crossword	anagram	romp	whimsy
microfluidic	electrokinetic	semipermeable	nacl	microporous	arteriolar	liposome	hydrogel	fluidic	hydrophilic	pipet	immiscible	micropump	meshwork	imbibition	exudate
conditionally	preexisting	condit	infirmity	pre-existing	medically	deteriorate	otherwise	deterioration	defective	therefore	unconditionally	subclause	impair	insufficiency	worsened
heavenly	unto	heavenward	verily	everlasting	blessed	spake	deathless	archangel	build	hades	whereon	forfend	behold	howbeit	thy


topsoil	clayey	loam	soil	overburden	loamy	silty	unconsolidated	calcareous	marl	hardpan	dolomitic	alluvium	typic	silt	waterlogged
ewenki	bigoudine	argana	jingpo	zhuang	kajang	blang	avaria	miao	commote	arrows	avar	furnituremaker	de'ang	cynopterus	magyar
medical_record	archivally	nara	access	retrievable	printout	archives	access	sound_recording	public_record	siris
phonic	phonemic	decodable	rhyming	multisensory	syllabication	phoneme	phonetically	flashcard	grapheme	phonetic	memorization	alliteration	kinesthetic	multisyllabic	morpheme
large	sized	medium-sized	medium-size	relatively	tiny	size	sizable	miniscule	good-sized	handful	fraction	middle-sized	proportionally	minuscule	cone-shaped
andreas	faulting	subduction	seismogenic	subduct	crustal	tectonic	tectonically	intraplate	lithospheric	graben	mainshock	aeromagnetic	compressional	scarp	epicentral
dexterous	mastered	dextrous	quickness	skilful	steadiness	imitate	stamina	skillful	grasping	muscular	gymnastic	sharpened	sensitiveness	nicety	cunning

fenced	barbed	rabbit-proof	fencing	barricade	staking	chainlink	wire	unfenced	railing	skirted	shrubbery	bollard	erecting	rebar	mow
ground_zero	decimal	nonzero	minus	zero	integer	zilch	non-zero	sqrt	googol	subtract	divisor	mantissa	hexadecimal	infinity	increment
bromeliad	calystegia	fremontodendron	plagiobothrys	cynopterus	sidalcea	symmerista	heterocampa	skink	hummingbirds	navarretia	navarretia_leucocephala	larinus	spathodea	snapdragon	albatross

invest	investor	investment_management	investing	invest	portfolio	investee	invest	asset_allocation	reinvest	mutual_fund	investment_bank	small-cap	reit	investment_company	pension_fund
birdwatch	bushwalk	bird	canoeing	birder	bushwalk	outdoors	kayak	hiking	windsurf	snorkeling	watersport	waterskiing	snorkel	water-skiing	ornithological

korean	jong-il	south_korean	north_korean	yonsei	japan	vietnamese	taiwan	japanese	taniguchi	bulgogi	chaebol	okada	japan	brinkmanship	dmz
aortic_aneurysm	subconcept	aftershocks	sounder	alash	zionist
cloudless	sun_god	sun_city	solstice	blazing	noonday	shining	sky	bask	scorching	microsystem	orb	bask	moon	midday	eventide
blacktop	grime	shovel	unpaved	caked	shovel	dug	shovel	dusty	rutted	dust	plowed	clod	puddle	muck	mop

syriac	semitic	sefer	talmudic	hebraic	masoretic	ethiopic	midrash	akkadian	recension	redactor	tractate	karaites	lxx	rabbinic	exegete


jewelled	plumed	gayly	jingling	scabbard	gleam	glitter	lolling	choker	kobold	carven	bauble	gaily	jeweled	girt	twine
sheikh	azhar	khalid	moham	say	ali	mahmud	shakir	sheik	aziz	imam	mufti	yahya	hame	yemeni	akram
norovirus	psittacosis	paramyxoviridae	legionellosis	paramyxovirus	bubo	rickettsial	xiamen	gastroenteritis	enzootic	epizootic	leptospirosis	fujian	arboviral	pestis	dysentery
ocean_bottom	rov	deep-sea	seamount	bathymetric	hydrothermal	submersible	seismometer	multibeam	chemosynthetic	underwater	ocean	sea_floor	bathymetry	sonar	nearshore
megahertz	ghz	mhz	high-power	silicon-germanium	multimode	megabit	ultrawideband	multiband	kilohertz	kilobit	wideband	nanosecond	microsecond	gbps	fanless
tragic	horrific	devastation	aftermath	catastrophe	tragically	outpouring	inhumanity	calamitous	horrendous	carnage	heartbreaking	terrible	unspeakable	enormity	barbarity
forecasting	nowcasting	weather_forecast	severe_weather	hydrometeorological	mesonet	weather_satellite	forecast	winter_storm	meteorologist	climate_model	weathercast	weather_station	radar	data_assimilation	weather_radar

midbrain	striatal	thalamus	thalamic	forebrain	dopaminergic	putamen	hypothalamic	ventromedial	dentate	noradrenergic	subcortical	efferent	afferent	axonal	oblongata
levelling	level	playing	unlevel	uneven	steeply	level	lowering	equal	flattening	flatness	slippage	embank	undercut	skewing	disparity


haneda	airport	airside	airport_security	hartsfield	layover	taxiway	runway	carry-on	flyover	eurostar	tarmac	heliport	commuter_train	check-in	mall
multienzyme	chloroplast	deacetylase	transamidation	aldolase	cathepsin	neurotrophin	apomixis	pullulanase	maltodextrin	pentose	xylose	insulinlike	synthase	lipa	cell_growth
volcaniclastic	interbedded	mafic	felsic	unconformity	granulite	proterozoic	mudstone	siliciclastic	sedimentary	gneiss	anhydrite	turbidite	metasedimentary	gabbro	granodiorite
levu	vanua	yaeyama	perak	nuku	celeb	cocos	kiribati	artocarpus	micronesian	suva	chumphon	teluk	ujung	lamma	canarium

derringer	shotgun	submachine	armband	turret	mortar	fuze	belt-fed	fatigues	tram	uzi	handgun	matchlock	guns	semiautomatic	thermistor



manioc	plantain	sugarcane	breadfruit	sandalwood	sugar_cane	pineapple	copra	groundnut	cardamom	cacao	manihot	husking	maguey	quintal	heliconia
mass_transit	transportation	ridesharing	vanpool	carpool	subway	commute	metrolink	paratransit	bus	carpool	metro	commuter	intercity	rail	light_rail

s5	s2	c1	c5	x4	s3	v3	refusion	a1	y2	p1	v1	s12	dihedral	s10	collinear
kentucky	lexington	kentuckian	tennessean	brown	berea	peoria	shelbyville	elkhart	springdale	pacer	springfield	buckeye	elizabethtown	hometown	richmond
infantry	battalion	dragoon	brigade	cavalry	regimental	brevet	grenadier	grenadiers	skirmish	muster	hussar	adjutant	major-general	regiment	encampment

european	western	eastern_european	eastern	asia	america	post-communist	pan-european	german-speaking	finn	communism	scandinavian	poland	maghrib	slavic	hanseatic
toshihiro	shiraishi	naotake	atsushi	yoshinori	keisuke	takayoshi	yasuhiko	hisashi	terumasa	kotaro	masanori	nobuo	yoshiyuki	nagase	yamaguchi
leathern	pantaloon	tunic	riband	pleated	greatcoat	breastplate	bodice	waistcoat	caparisoned	pommel	bandanna	longyi	hauberk	jewelled	bedecked
encephalomyelitis	variolation	orthopoxvirus	parvovirus	paramyxovirus	babesiosis	bursal	paramyxoviridae	mousepox	zoonosis	monkeypox	variola	arbovirus	enzootic	leptospirosis	chikungunya
cloture	vote	vote	overrule	multimember	veto	unanimous	reapportionment	abstention	plebiscite	referendum	veto	gerrymandering	legislatively	enacting	term_limit
intercept	intercept	intercept	wiretap	wiretap	eavesdropping	eavesdrop	surveillance	surveil	encrypt	investigatory	asio	touchdown	elint	unauthorised	relay
lyndsay	rourke	johanne	franziska	switzer	bonci	lyndsey	schulman	boudreau	riner	gauthier	jacquie	murri	hofer	hegarty	schulte

expressionist	post-impressionist	expressionism	braque	brushwork	impressionist	printmaker	cubist	neo-expressionism	still-life	impressionist	pointillism	brushstroke	painterly	conceptualism	painting
conference_call	videoconference	conference	teleconferencing	meeting	videoconferencing	in-person	webinar	preconference	telephone_conference	attendee	webcast	reconvene	wrap-up	attend	cosponsor


hegemonic	world-system	nation-state	sinocentric	domination	expansionism	eurocentric	hegemon	hegemonism	westernization	imperialistic	exceptionalism	imperialism	eurocentrism	civilizational	theorization

castanea	elm	beech	butternut	hornbeam	ilex	catalpa	basswood	persimmon	dogwood	aesculus	birch	honeysuckle	poplar	sumac	grosbeak
