mayfly	chironomid	simulium	ephemeroptera	diptera	killifish	cyprinus	phalacrocorax	mosquitofish	trematode	herbivorous	insectivorous	chub	sunfish	piscivorous	salvinia
gaseous	cryogenic	supercritical	aqueous	degassed	viscometer	cooled	oxidizer	glovebox	slurry	pressurized	deionized	two-phase	high-pressure	condensate	bubbler
switching	switch	on-off	inverter	unplug	disconnecting	multiplexer	switcher	low-voltage	switchable	rheostat	push-button	unplug	latching	demultiplexer	hot-swap
monorail	guideway	tollway	expressway	light_rail	rail	interurban	motorcoach	streetcar	eurostar	airport	tramway	docklands	intercity	thruway	viaduct
swipe	swipe	i.d.	swipe	escalator	unlocked	keycard	keyless	check-in	gate	contactless	automat	trapdoor	exiting	ticketing	doorman

folktale	pinocchio	gretel	cinderella	fairytale	gabby	rapunzel	stepbrother	collodi	pierrot	edda	retelling	pooh	tinkerbell	werewolf	alexia
repossess	repossession	mortgagee	repossess	lien	refinancing	mortgagor	replevin	mortgage	prepetition	default	default	detainer	receivership	eviction	counterclaim
cour	syllabus	instructor	elective	proseminar	introductory	coursework	semester	gene	credit_hour	classwork	curriculum	midsemester	classtime	memorization	calculus
roundel	robed	gules	blazoned	finial	coronet	whitened	jewelled	adorned	upraised	enamel	carven	upturned	plumed	gule	shapeless
suspended	suspend	debarment	suspend	debar	infraction	expulsion	sanction	disbelief	reprimand	cortisporin	ineligibility	revocation	infract	reinstatement	termination
essex	yarmouth	richmond	gloucester	suffolk	somerset	virginia	devon	annapolis	dockyard	tidewater	dorset	wight	tilbury	kentish	isle

lunchroom	dinner	brunch	lunchtime	breakfast	potluck	brown-bag	cafeteria	dinnertime	dine	get-together	luncheon	snack	cookout	meal	smoothie

market_price	financial_market	mark-to-market	paasche	dilutive	swap	price	repricing	market	undiscounted	illiquid	unamortized	earnings	securitized	underpriced	valuation

tanam	vihuela	copula	tollywood	pandeiro	pampangan	gravity-assist	arear	belone	toshiharu	ghoul

leptin	orexin	adiponectin	ingestive	hypothalamic	postprandial	gastrin	noradrenaline	catecholamine	vasopressin	cholecystokinin	neuropeptide	catabolism	anorectic	metabolizing	endorphin
benefactor	bequest	liberality	munificent	munificence	endow	bequeath	bestow	endowed	endow	lectureship	professorship	generosity	donative	bestow	emolument
abdicate	usurpation	acquiesce	repudiated	usurp	acquiescence	countenance	repudiation	aggrandizement	fealty	usurper	vacillation	devolve	usurp	avowed	recrimination
myclobutanil	cyprodinil	pyraclostrobin	boscalid	fludioxonil	azoxystrobin	trifloxystrobin	benomyl	trifluralin	iprodione	propargite	acetamiprid	methomyl	avermectin	oxyfluorfen	cyfluthrin
historic	preserve	preserving	cultural	preservation	patrimony	preservationist	unesco	monument	monument	conserving	irreplaceable	conservation	conservationist	cultural_property	treasured
delayed	delaying	retransmit	retransmission	unavailability	bursty	retry	shorten	retransmit	postpone	backlog	backoff	postponement	latency	due	prolonged
recombination	stochastically	kink	switcher	pairwise	v6	hybrid	splice	torque	groove	vsd	sigmoidal	backoff	limiter	gearbox	timeslot

buttercup	rubus	gnarled	bloodroot	creeper	brushwood	gooseberry	convolvulus	sundew	euonymus	persimmon	wooly	bindweed	prickly	nettle	combretum

owner	property_maintenance	easement	personal_property	real_property	verbesina	property_right	limnanthes_floccosa	owner	lapin	chorizanthe_robusta	plat	usufructuary	property_insurance	property_management	leaseholder
employ	employer	occupational	work-life	employ	worker	homework	on-the-job	harassment	unionization	absenteeism	employee	unionized	oh	unionised	unionize
epistemological	positivist	epistemologist	cognitivist	epistemic	ontological	behaviorism	positivism	foundationalism	phenomenologist	empiricism	phenomenology	internalist	intentionality	phenomenological	poststructuralist
duplicity	self-defeating	self-deception	mendacity	malevolence	insincerity	thoughtlessness	overweening	baneful	self-abasement	self-righteousness	impugn	dissimulation	callousness	unreasoning	subservience

signer	declared	declare	inalienable	reaffirm	communique	proclamation	proclaimed	signatory	unalienable	reaffirm	solemnly	accede	unconditional	repudiated	promiser

consult	special	consult	consultancy	consulting_firm	consult	lybrand	specialist	hired	security_consultant	cubillo	management_consulting	management_consultant	lecturer	cooper	postholder

urgent	urgently	pressed	facing	urgency	confront	tackle	refocus	redouble	disengage	address	decisively	intensify	agenda	grapple	re-emerge
israeli	palestinian	zionism	palestine	plo	knesset	peres	zionist	moshav	jerusalem	mosh	regev	aviv	rejectionist	intifada	emunim
infeed	mower	pruner	trimmer	windrow	wrench	scraper	yarding	skidder	tenon	shovel	dryish	candy_cane	courtyard	unhitched	bollard
terminating	terminate	terminated	subrule	negotiability	nonrenewal	grievable	sec	subclause	voidable	time-limit	terminable	unrevoked	rehire	thereunder	hereunder
white	clinton	president	clinton_administration	bush_administration	administration	national_security	pentagon	nixonian	califano	watergate	presidential	podesta	declassify	blumenthal	counterintelligence



grime	sandpaper	soggy	greasy	scrape	scrape	carborundum	oily	caked	sandblast	lather	lye	soaking	pulverized	mush	rusting
dismantlement	follow-on	erica	multiyear	predevelopment	flying_squad	project	assess	on-going	weapon_system	defense_program	nonnuclear	nuclear_energy	reassess	field-test
globalized	third_world	global	new_world	global	superpower	industrialized	world_government	third-world	borderless	globalist	globalism	industrialised	internationalism	democratize	america
barque	cow	sark	yarmouth	picton	firth	tilbury	berth	lough	aberdeenshire	kentish	wight	pennine	dockyard	clava	brae

interparticle	hadron	hadronic	fermionic	hadronization	alpha_particle	supersymmetric	subatomic	boson	electroweak	pion	antiparticle	gluon	lepton	gluonic	nucleation





power_supply	power_plant	wield	oligarchic	despotic	domination	counterweight	usurpation	power-hungry	multipolar	stranglehold	power_grid	dictatorial	autocrat	despotism	preponderant

mustela	opossum	chipmunk	jackrabbit	mastiff	serval	hippopotamus	possum	javelina	stoat	cocker	warthog	snakes	lepus	pinscher	gamekeeper
benzyl	azide	guanidine	diamine	sorbitol	sulfoxide	lipophilic	succinate	hydroxylamine	water-soluble	disodium	hydroquinone	epoxide	phenolic	benzoate	acetonitrile
drooping	glistening	velvety	glisten	freckled	curler	cream-colored	lolling	twiggy	willowy	gleam	curled	ribbed	splay	tuft	daintily
poxvirus	orthopoxvirus	velogenic	arbovirus	norovirus	paramyxovirus	lentogenic	herpes_simplex	muskrat	herpestes	mongolian	dutch_elm	dermoptera	e30	embryologist	specter
psychodynamic	biopsychosocial	psychologic	psychophysiological	psychopharmacology	posttraumatic	psychopathy	maladjustment	psychopathological	impulsivity	psychophysiology	psychological	psychosocial	maladaptive	neuropsychiatric	neuroscientific
canyonland	cavern	canyon	badlands	butt	cave	arches	gulch	crater	uinta	voyageurs	trailside	trailhead	escarpment	devil	sugarloaf



indisposed	quit	vexation	wearied	wonted	seasonable	recollect	mortification	twelvemonth	ague	unwell	insensible	insensibility	trifling	malady	contented
ottley	bhairav	fade	heerd	succotash	bedquilt
mown	mow	crabgrass	forb	sward	panicum	paspalum	herbage	pasture	thatch	blue_grass	zoysia	graze	tussock	mow	esparto
secondo	diable	sacra	odilon	liotard	manual	torquato	gaul	ramelli	beuron	religion	einem	ospedale	francini	molto	saison
general_education	general_assembly	particular	general_staff	adjutant	secretary	synod	relating	specific	regard	concerning	confine	general_counsel	subordinate	hebdomadal	unrepresented
courtyard	longshan	aqueduct	complex_sentence	hearth	sub-rectangular	cross-dress	mayan	storeyed	bacillariophyceae	groin	mantel	scandinavian	montu	hermus	rut
undergraduate	graduate_school	graduate_student	doctoral	postbaccalaureate	undergraduate_education	pre-medical	prepharmacy	matriculate	assistantship	mals	premedical	preprofessional	degree_program	faculty	undergraduate_degree





swimming	car_pool	swim	vernal	vernal_pool	tub	spa	poolside	billiards	swimming_pool	jacuzzi	pooling	motor_pool	whirlpool	pool	replenished
multibillion	multi-billion	billion	multimillion	money	multi-million	trillion	costing	million	greenback	invest	worth	coffer	us_dollar	dollar_spot	reinvest

red	cross	red_cross	red_lion	planet	gnarl	crescent	red_deer	blue	red_flag	bringer	red_oak	betelgeuse	yonder	terraform	yellow
gas_pipeline	liquefied	gas	gasfield	fuel	energy_policy	hydrocarbon	natural_resources	regasification	clean-burning	util	rig	renew	wellhead

antigonus	aratus	lacedaemonian	syracusan	thessalian	eumenes	carthaginian	gaul	cleomenes	demetrius	achaean	caecina	antipater	domitius	achaean	lacedaemonian
schoolwide	pre-kindergarten	program_management	addition	head_start	art_education	undergraduate	degree_program	train	programmatic


suburbs	kapampangan	the_city	golconda	kalej	raipur	cedro	visakhapatnam	chitra	seafront	guaguanco	honan	natak


fatness	fat-free	margarine	fatty	low-calorie	lard	waistline	low-fat	cellulite	high-calorie	fattening	cholesterol	leanness	blubber	hydrogenated	bran
sudoku	wacky	tetri	crossword	anagram	chock-full	geeky	solitaire	tetri	snazzy	wordplay	nifty	scrabble	quirky	bookworm	explainer
microchannel	electrophoresis	recirculation	isothermal	ultrafiltration	fluidic	countercurrent	centrifugation	equilibration	two-phase	filtrate	laminar	hydrostatic	equilibrated	monolayer	diastole
condit	infirmity	deformity	abnormal	privation	debility	correctable	deterioration	exert	sufferer	deteriorate	insufficiency	derangement	amelioration	voiding	eyesight
earthly	eternal	heavenly	everlasting	eternity	perdition	eternally	hades	damnation	paradise	deathless	apaya	glorious	reborn	abyss	ungodly


clayey	topsoil	soil	loam	calcareous	marl	loamy	silty	hardpan	unconsolidated	spodic	alluvium	leach	siliceous	silt	histosol
ewenki	bigoudine	argana	jingpo	zhuang	avaria	miao	blang	commote	kajang	magnoliaceae	arrows	cynopterus	magyar	de'ang	darak
medical_record	archivally	nara	retrievable	access	printout	archives	access	sound_recording	public_record	affidavit
phonic	phonemic	rhyming	flashcard	syllabication	speller	preread	multisensory	cloze	phoneme	decodable	hiragana	onomatopoeia	metalinguistic	pseudoword	alphabet
large	medium-sized	medium-size	sized	busi	insignificant	size	small_business	relatively	fraction	mid-size	comparatively	tiny	midsized	sizable	especially
faulting	subduction	scarp	andreas	tectonism	crustal	graben	tectonic	tectonically	accretionary	anticline	seismogenic	terrane	seismic	paleoseismic	extensional
stamina	quickness	gait	kinesthetic	grasping	psychomotor	keyboard	proprioceptive	keenness	tactile	ambulation	dexterous	splint	meticulousness	postural	push-up

chainlink	fenced	fencing	rabbit-proof	yard	driveway	bollard	railing	berm	perimeter	barricade	underpass	stockade	shrubbery	unfenced	revetment
ground_zero	googol	manhattan	wide	ground_state	quintillion	zeros	lerman	punk	slo-mo	knievel	nyc	streb	zeri	accelerative	death-defying
plagiobothrys	calystegia	symmerista	cynopterus	sidalcea	fremontodendron	bromeliad	heterocampa	hummingbirds	navarretia	skink	plecotus	snapdragon	geranium	larinus	woodchuck

invest	investor	investing	invest	invest	reinvest	investment_management	reinvest	capital	diversification	reinvest	capital-intensive	capital_market	intermediation	diversify	financial
bird	birdwatch	birder	bushwalk	canoeing	bushwalk	outdoors	windsurf	hiking	kayak	snorkeling	fly-fishing	watersport	uncrowded	windsurfing	ornithologist

korean	jong-il	china	north	japan	taiwan	four-party	south_korean	north_korean	iran	diplomatic	nonaggression	tumen	brinkmanship	north_america	nuclear-free
aortic_aneurysm	subconcept	aftershocks	alash	sounder	raster_graphics
sun_city	microsystem	sunlight	shining	sun_god	noonday	equinox	moon	solstice	microsystem	cloudless	radiant	shade	firmament	scorching	twinkling
grime	washed	unpaved	caked	dusty	scrape	plowed	rutted	muddy	rotting	shovel	ankle-deep	overgrown	piled	outhouse	soaked

syriac	ugaritic	akkadian	sefer	coptic	apocrypha	papias	targum	ethiopic	semitic	greek-speaking	pseudepigrapha	kabbalist	recension	epiphanius	canaanite


plumed	jewelled	choker	jingling	lolling	scabbard	kobold	gayly	gleam	glitter	carven	bauble	girt	gaily	oaken	sinewy
haji	hame	say	shahid	khalid	sharif	ahmad	aziz	hakim	azhar	jaber	moham	ali	sheik	mustafa	husain
paramyxoviridae	epizootic	norovirus	psittacosis	legionellosis	rickettsial	paramyxovirus	bubo	fujian	enzootic	arboviral	ngu	leptospirosis	guan	pneumonic	campylobacteriosis
multibeam	rov	seamount	ocean_bottom	tiltmeter	bathymetric	seismometer	deep-sea	sea_floor	hydrothermal	sonar	subbottom	coring	bathymetry	submersible	subduction
megahertz	ghz	mhz	megabit	wideband	kilobit	baseband	kilohertz	ultra-wideband	multiband	low-voltage	reprogrammable	gbps	high-power	silicon-germanium	low-powered
tragic	tragically	horrific	grieving	grief-stricken	bereaved	horrifying	mourn	anguish	aftermath	befall	mourn	grief	senseless	heartbreaking	terrifying
nowcasting	forecasting	weather_forecast	severe_weather	hydrometeorological	mesonet	forecast	weather_satellite	winter_storm	meteorologist	forecaster	hindcast	meteorological	meteorology	weather_station	cold_weather

dopaminergic	midbrain	striatal	forebrain	hippocampal	subcortical	thalamic	serotonergic	noradrenergic	thalamus	ventromedial	dentate	hippocampus	tegmental	gabaergic	neuregulin
levelling	level	eroding	uneven	slumping	unlevel	steeply	compaction	earthmoving	flattening	retard	trench	shoring	moldboard	subgrade	inched


airport_security	airside	tarmac	airline	airfield	airliner	luggage	baggage	flight	garuda	board	hangar	airplane	jetliner	air_carrier	airstrip
multienzyme	chloroplast	transamidation	deacetylase	aldolase	cathepsin	neurotrophin	apomixis	maltodextrin	xylose	pullulanase	insulinlike	pentose	synthase	lipa	sphingolipid
volcaniclastic	unconformity	mafic	diagenetic	interbedded	sedimentary	lacustrine	proterozoic	gneiss	turbidite	subaerial	basaltic	neogene	depositional	granitic	ordovician
levu	vanua	yaeyama	nuku	perak	celeb	cocos	kiribati	artocarpus	micronesian	lamma	chumphon	suva	alcedo	teluk	landmass

shotgun	derringer	submachine	armband	turret	fuze	mortar	tram	semiautomatic	belt-fed	fatigues	uzi	handgun	flashlight	crossbow	thruster



manioc	groundnut	sugarcane	copra	sisal	breadfruit	plantain	cacao	cashew	pineapple	sugar_cane	cassava	cardamom	macadamia	sandalwood	lychee
mass_transit	intercity	transportation	transit	paratransit	guideway	metrolink	intermodal	commuter	transportation_system	rail	light_rail	rout	transportation_planning	transition	land_transport

s5	s2	c1	c5	p1	s3	x4	v3	refusion	p0	y2	u1	a1	x0	v1	plastoquinone
kentucky	lexington	berea	bloomington	tennessean	shelbyville	springdale	kentuckian	pacer	elkhart	indiana	oden	dayton	akron
regimental	cavalry	battalion	yeomanry	dragoon	grenadier	infantry	regiment	armoured	guard	army	brigade	gallant	barracks	lieutenant-colonel	brevet

european	eu	european_union	eastern_european	balkan	asia	pan-european	eastern	christendom	multipolar	france	russia	eurasia	european_community	transatlantic	spain
toshihiro	shiraishi	naotake	yoshinori	atsushi	takayoshi	keisuke	hisashi	yoshiyuki	yasuhiko	nobuo	kotaro	terumasa	masaharu	katsuhiko	eiichi
pantaloon	leathern	tunic	riband	greatcoat	pleated	breastplate	waistcoat	bodice	fustian	kilt	longyi	jewelled	petticoat	pommel	bedecked
orthopoxvirus	variolation	parvovirus	vaccinia	paramyxovirus	pox	encephalomyelitis	variola	paramyxoviridae	poxvirus	monkeypox	mousepox	virologist	actinobacillus	francisella	enterovirus
vote	vote	cloture	multimember	abstention	veto	overrule	repeal	referendum	unanimous	reapportionment	gerrymandering	repeal	elect	majority	legislatively
intercept	intercept	intercept	wiretap	eavesdropping	takedown	wiretap	touchdown	eavesdrop	fumble	investigatory	punt	receiver	unauthenticated	interceptor	prosecution
lyndsay	riner	franziska	boudreau	gauthier	tarpley	lonny	gorin	rourke	bonci	switzer	lindsley	mose	lauri	murri	athletic_director

hake	groundfish	expressionist	ichthyoplankton	flatfish	eakin	nekton	micronekton	whiting	hartley	sekula	trawl	gadus	expressionism	gillnet	albers
videoconference	teleconferencing	webinar	telephonic	in-person	call-in	webcast	conference_call	webcast	downlink	telephone_conference	simulcast	rebroadcast	telecast	videoconferencing	webinar


hegemonic	hegemon	expansionist	domination	unilateralism	imperialistic	expansionism	multipolar	imperialism	multipolar	isolationism	wilsonian	dominance	realpolitik	globalism	stranglehold

castanea	filbert	butternut	aesculus	beech	dogwood	hawthorn	hickory	catalpa	honeysuckle	gooseberry	ilex	redbud	persimmon	sumac	thistle
chafe	petito	president	senator	presidential	assassination	roosevelt	jr.	tsongas	john	bain	kennan	flightworthy	ted	adlai	reagan
